distance,x,y,value
1.731462925851703716e+01,4.000000000000000000e+01,1.731462925851703716e+01,2.052475466261948966e+01
1.749498997995992156e+01,4.000000000000000000e+01,1.749498997995992156e+01,2.167215056335763279e+01
1.767535070140280595e+01,4.000000000000000000e+01,1.767535070140280595e+01,1.906116211548996375e+01
1.785571142284569390e+01,4.000000000000000000e+01,1.785571142284569390e+01,1.517848482352829187e+01
1.803607214428857830e+01,4.000000000000000000e+01,1.803607214428857830e+01,1.019102784826008445e+01
1.821643286573146270e+01,4.000000000000000000e+01,1.821643286573146270e+01,8.338791085105638601e+00
1.839679358717435065e+01,4.000000000000000000e+01,1.839679358717435065e+01,7.240704500978480951e+00
1.857715430861723505e+01,4.000000000000000000e+01,1.857715430861723505e+01,7.240704500978480951e+00
1.875751503006012300e+01,4.000000000000000000e+01,1.875751503006012300e+01,7.240704500978480951e+00
1.893787575150300739e+01,4.000000000000000000e+01,1.893787575150300739e+01,7.240704500978480951e+00
1.911823647294589179e+01,4.000000000000000000e+01,1.911823647294589179e+01,1.008294475447957694e+01
1.929859719438877974e+01,4.000000000000000000e+01,1.929859719438877974e+01,1.275929549902154214e+01
1.947895791583166414e+01,4.000000000000000000e+01,1.947895791583166414e+01,1.275929549902154037e+01
1.965931863727455209e+01,4.000000000000000000e+01,1.965931863727455209e+01,1.103404460584570757e+01
1.983967935871743649e+01,4.000000000000000000e+01,1.983967935871743649e+01,7.727313727258831477e+00
2.002004008016032088e+01,4.000000000000000000e+01,2.002004008016032088e+01,7.240704500978480951e+00
2.020040080160320883e+01,4.000000000000000000e+01,2.020040080160320883e+01,6.550478648098513546e+00
2.038076152304609323e+01,4.000000000000000000e+01,2.038076152304609323e+01,2.798159920624044616e+00
2.056112224448898118e+01,4.000000000000000000e+01,2.056112224448898118e+01,9.784735812133078525e-01
2.074148296593186558e+01,4.000000000000000000e+01,2.074148296593186558e+01,9.784735812133078525e-01
2.092184368737474998e+01,4.000000000000000000e+01,2.092184368737474998e+01,9.784735812133078525e-01
2.110220440881763793e+01,4.000000000000000000e+01,2.110220440881763793e+01,9.784735812133078525e-01
2.128256513026052232e+01,4.000000000000000000e+01,2.128256513026052232e+01,9.784735812133078525e-01
2.146292585170340672e+01,4.000000000000000000e+01,2.146292585170340672e+01,9.784735812133078525e-01
2.164328657314629467e+01,4.000000000000000000e+01,2.164328657314629467e+01,9.784735812133078525e-01
2.182364729458917907e+01,4.000000000000000000e+01,2.182364729458917907e+01,9.784735812133078525e-01
2.200400801603206702e+01,4.000000000000000000e+01,2.200400801603206702e+01,9.784735812133077415e-01
2.218436873747495142e+01,4.000000000000000000e+01,2.218436873747495142e+01,9.784735812133078525e-01
2.236472945891783581e+01,4.000000000000000000e+01,2.236472945891783581e+01,9.784735812133078525e-01
2.254509018036072376e+01,4.000000000000000000e+01,2.254509018036072376e+01,9.784735812133078525e-01
2.272545090180360816e+01,4.000000000000000000e+01,2.272545090180360816e+01,2.436732564934152911e+00
2.290581162324649611e+01,4.000000000000000000e+01,2.290581162324649611e+01,3.900848010437020008e+00
2.308617234468938051e+01,4.000000000000000000e+01,2.308617234468938051e+01,3.900848010437019564e+00
2.326653306613226491e+01,4.000000000000000000e+01,2.326653306613226491e+01,3.900848010437020008e+00
2.344689378757515286e+01,4.000000000000000000e+01,2.344689378757515286e+01,3.900848010437020008e+00
2.362725450901803725e+01,4.000000000000000000e+01,2.362725450901803725e+01,2.454301950280203037e+00
2.380761523046092520e+01,4.000000000000000000e+01,2.380761523046092520e+01,9.784735812133078525e-01
2.398797595190380960e+01,4.000000000000000000e+01,2.398797595190380960e+01,9.784735812133078525e-01
